name,director,language,genre,emotion,link
12 Angry Men 97,Sidney Lumet,English,Comedy,Happy,https://www.imdb.com/title/tt6612029/
Casablanca 98,Michael Curtiz,English,Horror,Angry,https://www.imdb.com/title/tt9254608/
12 Angry Men 99,Sidney Lumet,English,Fantasy,Exciting,https://www.imdb.com/title/tt9064581/
Indiana Jones 100,Steven Spielberg,English,Sci-Fi,Energetic,https://www.imdb.com/title/tt1902266/
Pan's Labyrinth Extra 1,Guillermo del Toro,Spanish,Classic,Neutral,https://www.imdb.com/title/tt3958928/
The Notebook Extra 2,Nick Cassavetes,English,Drama,Sad,https://www.imdb.com/title/tt1507485/
Arrival Extra 3,Denis Villeneuve,English,Romance,Happy,https://www.imdb.com/title/tt2532297/
Arrival Extra 4,Denis Villeneuve,English,Classic,Neutral,https://www.imdb.com/title/tt4585682/
The Intouchables Extra 5,Olivier Nakache,French,Horror,Angry,https://www.imdb.com/title/tt6194477/
12 Angry Men Extra 6,Sidney Lumet,English,Sci-Fi,Energetic,https://www.imdb.com/title/tt3199360/
Eternal Sunshine Extra 7,Michel Gondry,English,Horror,Angry,https://www.imdb.com/title/tt8148816/
Indiana Jones Extra 8,Steven Spielberg,English,Classic,Neutral,https://www.imdb.com/title/tt9288403/
The Intouchables Extra 9,Olivier Nakache,French,Horror,Angry,https://www.imdb.com/title/tt1461530/
Casablanca Extra 10,Michael Curtiz,English,Drama,Sad,https://www.imdb.com/title/tt7912211/
The Notebook Extra 11,Nick Cassavetes,English,Adventure,Exciting,https://www.imdb.com/title/tt7648136/
12 Angry Men Extra 12,Sidney Lumet,English,Romance,Happy,https://www.imdb.com/title/tt4856778/
Casablanca Extra 13,Michael Curtiz,English,Classic,Neutral,https://www.imdb.com/title/tt7337302/
The Shining Extra 14,Stanley Kubrick,English,Thriller,Angry,https://www.imdb.com/title/tt1554893/
Arrival Extra 15,Denis Villeneuve,English,Drama,Sad,https://www.imdb.com/title/tt4321866/
Eternal Sunshine Extra 16,Michel Gondry,English,Drama,Sad,https://www.imdb.com/title/tt4360485/
The Notebook Extra 17,Nick Cassavetes,English,Romance,Happy,https://www.imdb.com/title/tt2477837/
Pan's Labyrinth Extra 18,Guillermo del Toro,Spanish,Comedy,Happy,https://www.imdb.com/title/tt4988363/
Eternal Sunshine Extra 19,Michel Gondry,English,Adventure,Exciting,https://www.imdb.com/title/tt4930039/
Her Extra 20,Spike Jonze,English,Sci-Fi,Energetic,https://www.imdb.com/title/tt8059374/
Pan's Labyrinth Extra 21,Guillermo del Toro,Spanish,Romance,Happy,https://www.imdb.com/title/tt5765538/
Indiana Jones Extra 22,Steven Spielberg,English,Horror,Angry,https://www.imdb.com/title/tt8514933/
Pan's Labyrinth Extra 23,Guillermo del Toro,Spanish,Classic,Neutral,https://www.imdb.com/title/tt2763364/
The Shining Extra 24,Stanley Kubrick,English,Drama,Sad,https://www.imdb.com/title/tt1102984/
Casablanca Extra 25,Michael Curtiz,English,Drama,Sad,https://www.imdb.com/title/tt8047749/
Her Extra 26,Spike Jonze,English,Romance,Happy,https://www.imdb.com/title/tt9764989/
The Intouchables Extra 27,Olivier Nakache,French,Horror,Angry,https://www.imdb.com/title/tt5149332/
Indiana Jones Extra 28,Steven Spielberg,English,Fantasy,Exciting,https://www.imdb.com/title/tt4705894/
Arrival Extra 29,Denis Villeneuve,English,Classic,Neutral,https://www.imdb.com/title/tt6592483/
Pan's Labyrinth Extra 30,Guillermo del Toro,Spanish,Romance,Happy,https://www.imdb.com/title/tt3899594/
Pan's Labyrinth Extra 31,Guillermo del Toro,Spanish,Sci-Fi,Energetic,https://www.imdb.com/title/tt4823255/
Eternal Sunshine Extra 32,Michel Gondry,English,Adventure,Exciting,https://www.imdb.com/title/tt8630814/
The Notebook Extra 33,Nick Cassavetes,English,Horror,Angry,https://www.imdb.com/title/tt4665084/
Eternal Sunshine Extra 34,Michel Gondry,English,Romance,Happy,https://www.imdb.com/title/tt3613205/
Arrival Extra 35,Denis Villeneuve,English,Classic,Neutral,https://www.imdb.com/title/tt8027157/
Indiana Jones Extra 36,Steven Spielberg,English,Thriller,Angry,https://www.imdb.com/title/tt4772725/
Her Extra 37,Spike Jonze,English,Comedy,Happy,https://www.imdb.com/title/tt8391839/
Pan's Labyrinth Extra 38,Guillermo del Toro,Spanish,Comedy,Happy,https://www.imdb.com/title/tt4054250/
Her Extra 39,Spike Jonze,English,Adventure,Exciting,https://www.imdb.com/title/tt7362750/
Arrival Extra 40,Denis Villeneuve,English,Horror,Angry,https://www.imdb.com/title/tt8240248/
Arrival Extra 41,Denis Villeneuve,English,Romance,Happy,https://www.imdb.com/title/tt2710676/
Pan's Labyrinth Extra 42,Guillermo del Toro,Spanish,Drama,Sad,https://www.imdb.com/title/tt7947549/
12 Angry Men Extra 43,Sidney Lumet,English,Drama,Sad,https://www.imdb.com/title/tt5514791/
Indiana Jones Extra 44,Steven Spielberg,English,Classic,Neutral,https://www.imdb.com/title/tt4332861/
Pan's Labyrinth Extra 45,Guillermo del Toro,Spanish,Horror,Angry,https://www.imdb.com/title/tt8599804/
12 Angry Men Extra 46,Sidney Lumet,English,Adventure,Exciting,https://www.imdb.com/title/tt3442170/
Arrival Extra 47,Denis Villeneuve,English,Classic,Neutral,https://www.imdb.com/title/tt6711678/
Arrival Extra 48,Denis Villeneuve,English,Romance,Happy,https://www.imdb.com/title/tt7996235/
The Intouchables Extra 49,Olivier Nakache,French,Thriller,Angry,https://www.imdb.com/title/tt7339301/
12 Angry Men Extra 50,Sidney Lumet,English,Sci-Fi,Energetic,https://www.imdb.com/title/tt7845927/
